point	title	description	icon
334105.456975,188552.335017	GM136	<a target='_new' href='static/monumenten/pdfs/GM136.pdf'>OPEN DOCUMENT</a>	gm.png
334442.994436,188613.154231	GM129	<a target='_new' href='static/monumenten/pdfs/GM129.pdf'>OPEN DOCUMENT</a>	gm.png
334463.922075,188792.949667	GM148	<a target='_new' href='static/monumenten/pdfs/GM148.pdf'>OPEN DOCUMENT</a>	gm.png
334385.13275,188875.429737	GM158	<a target='_new' href='static/monumenten/pdfs/GM158.pdf'>OPEN DOCUMENT</a>	gm.png
334387.229642,188858.138371	GM160	<a target='_new' href='static/monumenten/pdfs/GM160.pdf'>OPEN DOCUMENT</a>	gm.png
336144.570703,186608.477456	GM110	<a target='_new' href='static/monumenten/pdfs/GM110.pdf'>OPEN DOCUMENT</a>	gm.png
334378.00179,188824.918573	GM162	<a target='_new' href='static/monumenten/pdfs/GM162.pdf'>OPEN DOCUMENT</a>	gm.png
334407.705974,188779.022432	GM165	<a target='_new' href='static/monumenten/pdfs/GM165.pdf'>OPEN DOCUMENT</a>	gm.png
334387.320024,188756.728621	GM169	<a target='_new' href='static/monumenten/pdfs/GM169.pdf'>OPEN DOCUMENT</a>	gm.png
334425.003209,188704.423619	GM174	<a target='_new' href='static/monumenten/pdfs/GM174.pdf'>OPEN DOCUMENT</a>	gm.png
334415.75378,188671.9603	GM175	<a target='_new' href='static/monumenten/pdfs/GM175.pdf'>OPEN DOCUMENT</a>	gm.png
339569.239084,184489.64763	GM028	<a target='_new' href='static/monumenten/pdfs/GM028.pdf'>OPEN DOCUMENT</a>	gm.png
334023.746604,188499.518361	GM146	<a target='_new' href='static/monumenten/pdfs/GM146.pdf'>OPEN DOCUMENT</a>	gm.png
334402.220379,188695.23563	GM172	<a target='_new' href='static/monumenten/pdfs/GM172.pdf'>OPEN DOCUMENT</a>	gm.png
334769.919771,188269.648724	GM220	<a target='_new' href='static/monumenten/pdfs/GM220.pdf'>OPEN DOCUMENT</a>	gm.png
339540.145194,184528.94915	GM004	<a target='_new' href='static/monumenten/pdfs/GM004.pdf'>OPEN DOCUMENT</a>	gm.png
331856.02733,185389.553352	GM068	<a target='_new' href='static/monumenten/pdfs/GM068.pdf'>OPEN DOCUMENT</a>	gm.png
330996.928615,185739.505484	GM074	<a target='_new' href='static/monumenten/pdfs/GM074.pdf'>OPEN DOCUMENT</a>	gm.png
331002.585586,185743.667679	GM075	<a target='_new' href='static/monumenten/pdfs/GM075.pdf'>OPEN DOCUMENT</a>	gm.png
333904.753579,189000.570658	GM155	<a target='_new' href='static/monumenten/pdfs/GM155.pdf'>OPEN DOCUMENT</a>	gm.png
339954.829237,185695.375364	GM108	<a target='_new' href='static/monumenten/pdfs/GM108.pdf'>OPEN DOCUMENT</a>	gm.png
334887.107835,188376.144484	GM231	<a target='_new' href='static/monumenten/pdfs/GM231.pdf'>OPEN DOCUMENT</a>	gm.png
334269.85881,188377.794186	GM149	<a target='_new' href='static/monumenten/pdfs/GM149.pdf'>OPEN DOCUMENT</a>	gm.png
331657.465107,185187.46313	GM066	<a target='_new' href='static/monumenten/pdfs/GM066.pdf'>OPEN DOCUMENT</a>	gm.png
334733.700542,189066.712895	GM186	<a target='_new' href='static/monumenten/pdfs/GM186.pdf'>OPEN DOCUMENT</a>	gm.png
333477.595667,187106.135167	GM229	<a target='_new' href='static/monumenten/pdfs/GM229.pdf'>OPEN DOCUMENT</a>	gm.png
331576.667063,185084.316875	GM065	<a target='_new' href='static/monumenten/pdfs/GM065.pdf'>OPEN DOCUMENT</a>	gm.png
329318.837037,186664.721965	GM035	<a target='_new' href='static/monumenten/pdfs/GM035.pdf'>OPEN DOCUMENT</a>	gm.png
330582.233901,186465.980447	GM042	<a target='_new' href='static/monumenten/pdfs/GM042.pdf'>OPEN DOCUMENT</a>	gm.png
330628.775449,186490.804734	GM044	<a target='_new' href='static/monumenten/pdfs/GM044.pdf'>OPEN DOCUMENT</a>	gm.png
330605.588484,186478.440379	GM043	<a target='_new' href='static/monumenten/pdfs/GM043.pdf'>OPEN DOCUMENT</a>	gm.png
331500.810257,186995.971895	GM046	<a target='_new' href='static/monumenten/pdfs/GM046.pdf'>OPEN DOCUMENT</a>	gm.png
